Error,Ntot,Threads,Duration
3.983762492251434E-5,120000000,1,1752
1.937029924089115E-5,120000000,1,1738
2.2982790119455737E-6,120000000,1,1738
6.245321600667399E-6,120000000,1,1735
5.7443507790430046E-6,120000000,1,1737
6.7258062613681745E-6,240000000,2,1773
5.934773561230914E-5,240000000,2,1769
1.2027951199633067E-5,240000000,2,1768
3.834491461814662E-6,240000000,2,1771
1.4015102654921543E-5,240000000,2,1773
1.1622473343848885E-5,360000000,3,1808
7.091862630516565E-6,360000000,3,1848
2.5391144309433985E-5,360000000,3,1819
3.3110485378136657E-6,360000000,3,1826
1.30748370474937E-5,360000000,3,1791
3.33391653287838E-5,480000000,4,1833
1.0261331331306401E-5,480000000,4,1806
3.0344032567105757E-5,480000000,4,1829
1.4696449078798509E-5,480000000,4,1816
5.967167699289716E-6,480000000,4,1805
1.5299278858554948E-6,600000000,5,1858
4.22372749366989E-7,600000000,5,1810
6.02870761062153E-6,600000000,5,1823
3.3570266326135947E-6,600000000,5,1838
3.707469511040906E-5,600000000,5,1829
3.294975266305736E-5,720000000,6,1865
4.199296387866237E-6,720000000,6,1885
1.3943115681504657E-5,720000000,6,1889
2.933288173351256E-5,720000000,6,1884
1.596228873953543E-6,720000000,6,1874
2.8898048838036584E-6,960000000,8,1971
1.4375160280814828E-6,960000000,8,1967
2.7487568587759594E-5,960000000,8,1964
8.558740689290392E-6,960000000,8,1959
1.6905091163314245E-5,960000000,8,1980
2.261689681268105E-5,1200000000,10,2113
1.1986570914397944E-5,1200000000,10,2045
1.6494736668348672E-5,1200000000,10,2086
3.519756454758732E-5,1200000000,10,2052
2.2171262971904914E-5,1200000000,10,2058
2.7354381604507605E-6,1440000000,12,2147
2.0673601386109033E-5,1440000000,12,2154
1.906259968437344E-5,1440000000,12,2140
2.0325596148612723E-5,1440000000,12,2162
1.2040329917322458E-5,1440000000,12,2157
6.479646616040919E-6,1200000000,1,17046
