Error,Ntot,Threads,Duration
2.090276544255245E-4,12000000,1,603
7.236660995726482E-5,12000000,1,617
9.53827000615751E-5,12000000,1,595
1.465244884418514E-4,12000000,1,604
6.727365177831908E-5,12000000,1,591
2.536285009739077E-5,24000000,2,1197
1.3963609923737106E-4,24000000,2,1099
1.325271784459289E-4,24000000,2,1113
7.002401246225582E-5,24000000,2,1183
4.5938564407708293E-5,24000000,2,1197
2.104798275140038E-5,36000000,3,1843
4.1942006947804825E-5,36000000,3,1804
5.839843744883218E-6,36000000,3,1817
4.367502743930367E-5,36000000,3,1810
7.511697064120156E-5,36000000,3,1950
5.440030221540862E-5,48000000,4,2358
4.467765073479105E-7,48000000,4,2318
9.045722182202782E-5,48000000,4,2431
2.691954870818348E-5,48000000,4,2345
6.85120405028835E-5,48000000,4,2265
1.1236755232096478E-4,60000000,5,3109
5.826776733264405E-5,60000000,5,2874
8.874063376990615E-5,60000000,5,3027
1.1704899298112692E-4,60000000,5,3099
1.0228773925848272E-4,60000000,5,2871
1.7662036185053805E-5,72000000,6,4630
2.0022317562536816E-5,72000000,6,4506
9.487819246342764E-5,72000000,6,3503
1.169653617880941E-4,72000000,6,3709
4.862651455775063E-5,72000000,6,3717
4.372598436931307E-6,96000000,8,4744
6.56423136116465E-5,96000000,8,5030
7.330227796080373E-6,96000000,8,4798
9.394536765808266E-5,96000000,8,6374
2.4208976760060623E-5,96000000,8,4738
3.259076984709647E-5,120000000,10,6004
5.0541162094598855E-5,120000000,10,5999
8.449650195409447E-5,120000000,10,6190
8.423956871185523E-5,120000000,10,5949
2.8028328145056507E-5,120000000,10,7700
3.602623128462469E-5,144000000,12,10034
1.1472677287065785E-5,144000000,12,8248
1.362075207372994E-5,144000000,12,8798
3.835217878706507E-5,144000000,12,7282
4.961629503636011E-5,144000000,12,9815
