Error,Ntot,Threads,Duration
2.3030862932092334E-5,120000000,1,6417
1.9487012865869792E-5,120000000,1,6162
1.703602674230781E-5,120000000,1,6046
5.4458659027897933E-5,120000000,1,6936
1.1415237301693017E-4,120000000,1,6073
6.905618714099957E-5,120000000,2,6018
4.885640503104348E-5,120000000,2,6143
1.557180126585561E-5,120000000,2,5785
6.782538891436329E-5,120000000,2,5893
9.365321634674069E-5,120000000,2,6009
5.181440163937063E-5,120000000,3,5850
4.620382264623186E-5,120000000,3,5983
1.6314524333580247E-5,120000000,3,6113
6.297646831480268E-5,120000000,3,6067
7.744063281035703E-5,120000000,3,6627
2.0375995213854456E-5,120000000,4,6141
1.8298655957369016E-5,120000000,4,5952
5.224110015415188E-5,120000000,4,6172
8.200307451239699E-5,120000000,4,5926
5.333167876338619E-5,120000000,4,5838
2.8516403303968146E-5,120000000,5,5912
9.351862822398118E-6,120000000,5,6106
2.361214572341793E-5,120000000,5,6575
3.84559967491896E-5,120000000,5,5931
5.90635420480734E-5,120000000,5,5940
1.231614563350199E-7,120000000,6,8107
5.872172616956314E-5,120000000,6,6708
1.0846523638380471E-4,120000000,6,5971
6.06528061456472E-5,120000000,6,5905
9.176229235536588E-5,120000000,6,6000
5.149837708642724E-5,120000000,8,6083
1.0729810013444237E-4,120000000,8,6453
1.6240252026737103E-5,120000000,8,6401
3.006551141669135E-5,120000000,8,6594
2.089590136133238E-5,120000000,8,5859
2.6277623771083664E-5,120000000,10,5801
7.253302906915605E-6,120000000,10,6306
2.8843038186339387E-5,120000000,10,6011
2.3158186886498834E-5,120000000,10,5748
8.5969052426831E-5,120000000,10,6270
1.3765759910751796E-5,120000000,12,6397
4.3771771848382055E-5,120000000,12,7867
2.2765604693568763E-5,120000000,12,6829
4.150116132693129E-5,120000000,12,6230
1.7571522054705783E-6,120000000,12,6382
